,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,airports_per_region
0,6523,00A,heliport,Total Rf Heliport,40.07080078,-74.93360138,11,,US,PA,Bensalem,no,00A,,00A,,,,1004
1,323361,00AA,small_airport,Aero B Ranch Airport,38.704022,-101.473911,3435,,US,KS,Leoti,no,00AA,,00AA,,,,519
2,6524,00AK,small_airport,Lowell Field,59.947733,-151.692524,450,,US,AK,Anchor Point,no,00AK,,00AK,,,,1039
3,6525,00AL,small_airport,Epps Airpark,34.8647995,-86.77030182,820,,US,AL,Harvest,no,00AL,,00AL,,,,458
4,506791,00AN,small_airport,Katmai Lodge Airport,59.093287,-156.456699,80,,US,AK,King Salmon,no,00AN,,00AN,,,,1039
5,6526,00AR,closed,Newport Hospital & Clinic Heliport,35.6087,-91.254898,237,,US,AR,Newport,no,,,,,,00AR,494
6,322127,00AS,small_airport,Fulton Airport,34.9428028,-97.8180194,1100,,US,OK,Alex,no,00AS,,00AS,,,,674
7,6527,00AZ,small_airport,Cordes Airport,34.30559921,-112.1650009,3810,,US,AZ,Cordes,no,00AZ,,00AZ,,,,961
8,6528,00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,3038,,US,CA,Barstow,no,00CA,,00CA,,,,2318
9,324424,00CL,small_airport,Williams Ag Airport,39.427188,-121.763427,87,,US,CA,Biggs,no,00CL,,00CL,,,,2318
10,322658,00CN,heliport,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,3350,,US,CA,Pine Valley,no,00CN,,00CN,,,,2318
11,6529,00CO,closed,Cass Field,40.622202,-104.344002,4830,,US,CO,Briggsdale,no,,,,,,00CO,608
12,6531,00FA,small_airport,Grass Patch Airport,28.64550018,-82.21900177,53,,US,FL,Bushnell,no,00FA,,00FA,,,,1215
13,6532,00FD,closed,Ringhaver Heliport,28.8466,-82.345398,25,,US,FL,Riverview,no,,,,,,00FD,1215
14,6533,00FL,small_airport,River Oak Airport,27.23089981,-80.96920013,35,,US,FL,Okeechobee,no,00FL,,00FL,,,,1215
15,6534,00GA,small_airport,Lt World Airport,33.76750183,-84.06829834,700,,US,GA,Lithonia,no,00GA,,00GA,,,,617
16,6535,00GE,heliport,Caffrey Heliport,33.887982,-84.736983,957,,US,GA,Hiram,no,00GE,,00GE,,,,617
17,6536,00HI,heliport,Kaupulehu Heliport,19.832881,-155.978347,43,OC,US,HI,Kailua-Kona,no,00HI,,00HI,,,,120
18,6537,00ID,small_airport,Delta Shores Airport,48.14530182,-116.2139969,2064,,US,ID,Clark Fork,no,00ID,,00ID,,,,433
19,322581,00IG,small_airport,Goltl Airport,39.724028,-101.395994,3359,,US,KS,McDonald,no,00IG,,00IG,,,,519
20,6538,00II,closed,Bailey Generation Station Heliport,41.644501,-87.122803,600,,US,IN,Chesterton,no,,,,,,00II,753
21,6539,00IL,small_airport,Hammer Airport,41.978401,-89.560402,840,,US,IL,Polo,no,00IL,,00IL,,,Radio Ranch,1049
22,6540,00IN,heliport,St Mary Medical Center Heliport,41.51139832,-87.26059723,634,,US,IN,Hobart,no,00IN,,00IN,,,,753
23,6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,820,,US,IL,Kings,no,00IS,,00IS,,,,1049
24,6542,00KS,small_airport,Hayden Farm Airport,38.72779846,-94.93049622,1100,,US,KS,Gardner,no,00KS,,00KS,,,,519
25,6543,00KY,small_airport,Robbins Roost Airport,37.40940094,-84.61969757,1265,,US,KY,Stanford,no,00KY,,00KY,,,,316
26,45437,00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,15,,US,LA,Gonzales,no,00LA,,00LA,,,,821
27,6544,00LL,heliport,Ac & R Components Heliport,39.66529846,-89.70559692,600,,US,IL,Chatham,no,00LL,,00LL,,,,1049
28,6545,00LS,small_airport,Lejeune Airport,30.136299,-92.429398,12,,US,LA,Crowley,no,00LS,,00LS,,,,821
29,6546,00MD,small_airport,Slater Field,38.75709915,-75.75379944,45,,US,MD,Federalsburg,no,00MD,,00MD,,,,289
30,6547,00MI,heliport,Dow Chemical Heliport,43.94940186,-86.41670227,588,,US,MI,Ludington,no,00MI,,00MI,,,,641
31,6548,00MN,small_airport,Battle Lake Municipal Airport,46.29999924,-95.70030212,1365,,US,MN,Battle Lake,no,00MN,,00MN,,,,630
32,6549,00MO,small_airport,Cooper Flying Service Airport,37.20280075,-94.41239929,970,,US,MO,Alba,no,00MO,,00MO,,,5K8,701
33,324642,00MT,heliport,Livingston Healthcare Heliport,45.675,-110.52515,4465,,US,MT,Livingston,no,00MT,,00MT,,,,415
34,6551,00N,small_airport,Bucks Airport,39.47320175,-75.18520355,105,,US,NJ,Bridgeton,no,00N,,00N,,,,461
35,6552,00NC,small_airport,North Raleigh Airport,36.08520126,-78.37139893,348,,US,NC,Louisburg,no,00NC,,00NC,,,,574
36,6553,00NJ,heliport,Colgate-Piscataway Heliport,40.52090073,-74.47460175,78,,US,NJ,New Brunswick,no,00NJ,,00NJ,,,,461
37,321919,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96,,US,NY,Beekmantown,no,00NK,,00NK,,,,766
